	id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id_1	name	nurs	id_2	name_3	lastname	firstname	Exclude	title_use	abstract_mentions_count	complexity_mentions	complexity_title_use
670	671	An Exploration Of The Hydration Care Of Older People: A Qualitative Study.	2012	961	10.1016/j.ijnurstu.2012.04.009	NLM22575619		141	49.0	10.0	1200	Abstract: Background: Older adults are more susceptible to water imbalance and ensuring they drink sufficiently is a complex and challenging issue for nurses. The factors that promote adequate hydration and the barriers which prevent older people from drinking are not well understood. Objective: This study aimed to understand the complexity of issues associated with the hydration and hydration care of older people. Design: A qualitative study using multiple methods. Settings: Two healthcare sites providing care for older people in the South West of England: a hospital ward in a major hospital and a care home providing personal and nursing care. Participants: Twenty-one older people aged 68â€“96 years, were recruited to the study from the hospital ward and care home. The inclusion criteria for older people to participate were men or women aged 65 years and over and the exclusion criteria were being unable to provide informed consent, or being too ill or distressed to take part in the study. The staff participants of nurses and health care assistants totalled 21. The inclusion criterion for staff was any nurse or health care assistant providing hydration care. Seven friends or relatives participated by making anonymous comments via a suggestion box available to all friends and relatives. Methods: Data were collected via interviews with older people, focus group discussions involving staff, suggestion box comments made by friends and relatives and twelve hours observation of hydration practice. The data were analysed using thematic analysis. Results: Health professionals successfully employed several strategies to promote drinking including verbal prompting, offering choice, placing drinks in older people''s hands and assisting with drinking. Older people revealed their experience of drinking was diminished by a variety of factors including a limited aesthetic experience and a focus on fluid consumption rather than on drinking as a pleasurable and social experience. Conclusion: The rich and varied dimensions usually associated with drinking were lacking and the role of drinking beverages to promote social interaction was underplayed in both settings. Hydration practice which supports the individual needs of older people is complex and goes beyond simply ensuring the consumption of adequate fluids.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=104420913&site=ehost-live	2021-07-02 01:33:26	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	141	International Journal of Nursing Studies	1.0	961	godfrey,helen	godfrey	helen		0.0	3.0	1.0	0.0
594	595	Complexity Theory: A Long-Term Care Specialty Practice Exemplar For The Education Of Advanced Practice Nurses.	2004	783	10.3928/01484834-20040201-06	14974517		783	43.0	2.0	84	This clinical exemplar highlights how an academic clinical practice supported gerontological nursing students as they learned evidence-based approaches to managing complex geriatric syndromes in long-term care. Urinary incontinence (UI), which occurs in more than two thirds of nursing home residents, was the focus of the faculty practice. Advanced practice nursing skills developed by students included advanced physical assessment and diagnostic reasoning techniques, critical appraisal of the scientific evidence for UI management, and the ability to teach evidence-based approaches to UI care to bedside nursing staff. Outcomes of the practice for the facilities included improved detection of urinary retention, reduced wetness rates, and strengthened systems of care for UI. Student outcomes included an increased sense of self-efficacy in management of UI and other complex geriatric problems. Complexity theory guides a discussion of how curriculum design and research-based practices can be implemented to enhance both student and facility outcomes.		2021-07-02 01:32:48	0	pubmed-frailtyMeS-complexityorcomplex-allaging-nursjour-2021.06.24.txt		783	The Journal Of Nursing Education	1.0	783	mcconnell,eleanor.s	McConnell	Eleanor S		1.0	3.0	1.0	1.0
717	718	Applying The Transitional Care Model To Elderly Patients With Heart Failure.	2000	1043	10.1097/00005082-200004000-00008	NLM10756474		5	14.0	3.0	53	Elderly patients with heart failure present a tremendous challenge to the current health care system. Decreased length of hospital stay for patients with increased numbers of comorbid conditions and complex medication regimens contribute to a revolving door of rehospitalizations. Using a transitional care model designed to decrease rehospitalizations, advanced practice nurses (APNs) in an ongoing clinical trial provide discharge planning in the acute care setting with home follow-up by the same APN for a 3-month period. This article reviews three case studies to provide a view of the complex and challenging situations in which elders with heart failure live and the care provided by APNs using the transitional care model to guide their practice. Social, economic, and emotional factors overlay the illness in each of these cases. The APNs, with advanced knowledge of cardiac disease and research-based management, help the patients and their caregivers to prioritize information and take the appropriate actions, while coping with the complexity of their conditions and the challenges they face. Keeping these patients from returning to the hospital provides evidence of the success of this transitional model of care. Copyright Â© 2000 by Aspen Publishers, Inc.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=107107766&site=ehost-live	2021-07-02 01:33:27	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	5	Journal of Cardiovascular Nursing	1.0	1043	bixby,mb	bixby	mb		0.0	3.0	1.0	0.0
706	707	Academic Practice Exemplars. Complexity Theory: A Long-Term Care Specialty Practice Exemplar For The Education Of Advanced Practice Nurses.	2004	1027		NLM14974517		1027	43.0	2.0	84	This clinical exemplar highlights how an academic clinical practice supported gerontological nursing students as they learned evidence-based approaches to managing complex geriatric syndromes in long-term care. Urinary incontinence (UI), which occurs in more than two thirds of nursing home residents, was the focus of the faculty practice. Advanced practice nursing skills developed by students included advanced physical assessment and diagnostic reasoning techniques, critical appraisal of the scientific evidence for UI management, and the ability to teach evidence-based approaches to UI care to bedside nursing staff. Outcomes of the practice for the facilities included improved detection of urinary retention, reduced wetness rates, and strengthened systems of care for UI. Student outcomes included an increased sense of self-efficacy in management of UI and other complex geriatric problems. Complexity theory guides a discussion of how curriculum design and research-based practices can be implemented to enhance both student and facility outcomes.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=106720196&site=ehost-live	2021-07-02 01:33:27	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	1027	Journal of Nursing Education	1.0	1027	mcconnell,es	mcconnell	es		1.0	3.0	1.0	1.0
29	30	Experiences Of Elderly Patients Regarding Participation In Their Hospital Discharge: A Qualitative Metasummary.	2019	30	10.1136/bmjopen-2018-025789	31685492		30	9.0	11.0	e025789	BACKGROUND: Ageing patients are discharged from the hospital 'quicker and sicker' than before, and hospital discharge is a critical step in patient care. Older patients form a particularly vulnerable group due to multimorbidity and frailty. Patient participation in healthcare is influenced by government policy and an important part of quality improvement of care. There is need for greater insights into the complexity of patient participation for older patients in discharge processes based on aggregated knowledge. OBJECTIVE: The aim of this study was to review reported evidence concerning the experiences of older patients aged 65 years and above regarding their participation in the hospital discharge process. METHODS: We conducted a qualitative metasummary. Systematic searches of Medline, Embase, Cinahl, PsycINFO and SocINDEX were conducted. Data from 18 studies were included, based on specific selection criteria. All studies explored older patients' experience of participation during the discharge process in hospital, but varied when it came to type of discharge and diagnosis. The data were categorised into themes by using thematic analysis. RESULTS: Our analysis indicated that participation in the discharge process varied among elderly patients. Five themes were identified: (1) complexity of the patients state of health, (2) management and hospital routines, (3) the norm and preference of returning home, (4) challenges of mutual communication and asymmetric relationships and (5) the significance of networks. CONCLUSIONS: Collaboration between different levels in the health systems and user-friendly information between staff, patient and families are crucial. The complexity of patient participation for this patient group should be recognised to enhance user involvement during discharge from hospital. Interventions or follow-up studies of how healthcare professionals can improve their communication skills and address the tension between client-centred goals and organisational priorities are requested. Organisational structure may need to be restructured to ensure the participation of elderly patients.		2021-07-02 01:27:51	1	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	30	Bmj Open		30	lilleheie,ingvild	Lilleheie	Ingvild		0.0	3.0	3.0	0.0
334	335	Physiological Complexity Underlying Heart Rate Dynamics And Frailty Status In Community-Dwelling Older Women.	2008	357	10.1111/j.1532-5415.2008.01858.x			144	56.0	9.0	1698	OBJECTIVES: To assess whether less physiological complexity underlying regulation of heart rate dynamics, as indicated by lower approximate entropy for heart rate (ApEnHR), is associated with frailty. For supporting validity, relationships between frailty and traditional linear indices of heart rate variability (HRV) were also assessed. DESIGN: Cross-sectional. SETTING: Women's Health and Aging Study I, a community-based observational study, 1992 to 1995. PARTICIPANTS: Subset of 389 community-dwelling women aged years and older with moderate to severe disability with ApEnHR data (convenience sampling). MEASUREMENTS: Electrocardiographic Holter recordings obtained over 2- to 3-hour periods were processed for ApEnHR and HRV measures. ApEnHR is a nonlinear statistic that quantifies the regularity of heart rate fluctuations over time. Lower ApEnHR is characteristic of heart rate time series containing a high proportion of repetitive patterns. Frailty was defined according to validated phenotype criteria. RESULTS: Median ApEnHR was lower in frail than in nonfrail subjects ( P=.02). Lower ApEnHR (top quartile) was associated with lower likelihood of frailty than higher ApEnHR (bottom three quartiles) (odds ratio=0.47, 95% confidence interval=0.26â€“0.86), even after adjustment for major confounders. Frailty was consistently associated with lower HRV as assessed using time- and frequency-domain indices. CONCLUSION: This study supports the notion that less physiological complexity marks frailty and provides an empirical basis to the concept of frailty as a syndrome of homeostatic impairment. Future research will determine whether noninvasive measures of physiological complexity underlying heart rate dynamics might be useful for screening and monitoring of clinical vulnerability in older adults.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=34137572&site=ehost-live	2021-07-02 01:29:56	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	144	Journal of the American Geriatrics Society		357	chaves,paulo.h.m	chaves	paulo.h.m	Y	1.0	3.0	3.0	1.0
620	621	Challenges And Strategies For Managing Diabetes In The Elderly In Long-Term Care Settings.	2020	852	10.2337/ds20-0018			850	33.0	3.0	236	Diabetes affects a large number of patients in the long-term care (LTC) setting, and their care is often complicated because of multimorbidity, diabetes-related complications, disability, dependency on caregivers, and geriatric syndromes, including frailty and cognitive impairment. This population includes patients receiving short-term rehabilitation in skilled nursing facilities, those who are residents in LTC facilities, and those receiving palliative or end-of-life care. An individualized approach to care based on clinical complexity, diabetes trajectory, and patients' preferences and goals is required. Such patients may experience one or more transitions of care and decline in condition. They are also prone to adverse drug events, cardiovascular events, and hypoglycemia. Facility-related challenges include varying staff competencies and practitioner preferences, inconsistent interdisciplinary communication, overly complex medication regimens, and poorly implemented care transitions.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=145107740&site=ehost-live	2021-07-02 01:33:24	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	850	Diabetes Spectrum	1.0	852	pandya,naushira	pandya	naushira		0.0	2.0	1.0	0.0
338	339	Geriatric Syndromes: Clinical, Research, And Policy Implications Of A Core Geriatric Concept.	2007	361	10.1111/j.1532-5415.2007.01156.x			144	55.0	5.0	780	Geriatricians have embraced the term â€œgeriatric syndrome,â€ using it extensively to highlight the unique features of common health conditions in older people. Geriatric syndromes, such as delirium, falls, incontinence, and frailty, are highly prevalent, multifactorial, and associated with substantial morbidity and poor outcomes. Nevertheless, this central geriatric concept has remained poorly defined. This article reviews criteria for defining geriatric syndromes and proposes a balanced approach of developing preliminary criteria based on peer-reviewed evidence. Based on a review of the literature, four shared risk factorsâ€”older age, baseline cognitive impairment, baseline functional impairment, and impaired mobilityâ€”were identified across five common geriatric syndromes (pressure ulcers, incontinence, falls, functional decline, and delirium). Understanding basic mechanisms involved in geriatric syndromes will be critical to advancing research and developing targeted therapeutic options, although given the complexity of these multifactorial conditions, attempts to define relevant mechanisms will need to incorporate more-complex models, including a focus on synergistic interactions between different risk factors. Finally, major barriers have been identified in translating research advances, such as preventive strategies of proven effectiveness for delirium and falls, into clinical practice and policy initiatives. National strategic initiatives are required to overcome barriers and to achieve clinical, research, and policy advances that will improve quality of life for older persons.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=24891873&site=ehost-live	2021-07-02 01:29:56	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	144	Journal of the American Geriatrics Society		361	inouye,sharon.k	inouye	sharon.k	Y	0.0	2.0	1.0	0.0
634	635	Hospital Readmission: Older Married Male Patients' Experiences Of Life Conditions And Critical Incidents Affecting The Course Of Care, A Qualitative Study.	2018	883	10.1111/scs.12583			170	32.0	4.0	1379	Background: Despite the frequency of hospital readmissions, there is still a relatively incomplete understanding of the broader array of factors pertaining to readmission in older persons. Few studies have explored how older persons experience readmission and their perceptions of circumstances affecting the course of care. Research indicates that males experience poorer health outcomes and are at higher risk of readmission compared to women. Aim: To explore life conditions and critical incidents pertained to hospital readmission from the perspective of older males. Methods: The study used a qualitative explorative design using the Critical Incident Technique. A purposive sample of four males aged 65â€“75 were recruited from two internal medical wards. Data were collected through narrative double interviews. The study was registered by the North Denmark Region's joint notification of health research (ID 2008â€58â€0028). Findings: The analysis revealed four themes of life conditions: 'Ambiguity of ageing', 'Living with the burden of illness', 'Realisation of dependency' and 'Growing sense of vulnerability and mortality'. Critical incidents comprised four areas: 'Balancing demands and resources in everyday life', 'Back home again â€“ a period of recovery', 'Care interaction' and 'Navigating within and between healthcare system(s)'. Conclusion: This study illustrated the interconnectedness, dynamics and complexity of life conditions and critical incidents that over time and across diverse healthcare sectors affected the course of care in older persons. Hospital readmissions seem related to a complex web of interacting life conditions and critical incidents rather than growing age or specific illnesses.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=133687391&site=ehost-live	2021-07-02 01:33:25	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	170	Scandinavian Journal of Caring Sciences	1.0	883	pedersen,mona.kyndi	pedersen	mona.kyndi		0.0	2.0	1.0	0.0
456	457	Parkinson'S Disease In Older Adults: A New Scenario For This Old Actor?	2010	494	 10.1111/j.1532-5415.2010.02832.x			144	58.0	5.0	982.0	Presents the case study of an 82-year-old man with insomnia and agitation in the night was admitted to the Geriatric Unit of the University Hospital of Parma. His medical history was characterized only by hypertension with cardiac hypertrophy. He was a past director of a bank and was cognitively normal. The clinical definition of frailty is rarely encompassed by a single altered system; multiple systems must be involved, and we propose that the model of Parkinsonian syndrome with its complexity of clinical manifestations could be considered as a prototype of this condition, providing new insight and new perspective to understand the complex biological pathways underlying the pathogenesis of frailty and physical disability in older persons. (PsycINFO Database Record (c) 2016 APA, all rights reserved)	https://www.proquest.com/scholarly-journals/parkinsons-disease-older-adults-new-scenario-this/docview/742982240/se-2?accountid=14902	2021-07-02 01:30:39	0	ProQuestallagingandcomplexityorcomplexandfrail_2021-06-23.xls		144	Journal of the American Geriatrics Society		494	lauretani,,fulvio	lauretani,	fulvio	Y	0.0	2.0	1.0	0.0
