NCBI_ID,Journal,Publishers,Country_of_Publication,Language,Description,eISSN,ISSN,Year_1st_Published,Journal_URL
9432971,Advances in wound care : the journal for prevention and healing,S-N Publications,United States,eng," Title from cover. Published: Springhouse, PA : Springhouse Corp.,   -1999.",,1076-2191,1994,
8912856,Advancing clinical care : official journal of NOAADN,Data Design,United States,eng, Title from cover. Continues: AD nurse.,,1042-9565,1989,
0321470,"Die Agnes Karll-Schwester, der Krankenpfleger",Agnes Karll-Verband.,Germany,ger,,,0944-9175,1947,
2985175R,ha-Ahot be-Yisrael,Irgun ha-ahayot be-Yisrael,Israel,heb," Summaries in English. Vol.     -10, no. 2, issued by Irgun ha-ahayot be-Yisrael; v. 10, no. 3-     by Igud ha-ahayot veha-ahim be-Yisrael.",,0048-1165,1948,
14720150R,The Alabama nurse,Alabama State Nurses Association,United States,eng, Official publication of the Alabama State Nurses' Association. Supersedes Alabama State Nurses' Association.  Bulletin.,,0002-4317,1947,
0042336,The Alaska nurse,Alaska Nurses Association,United States,eng, Official publication of the Alaska Nurses' Association.,,0002-4546,1951,
100883278,Alberta RN,The Association,Canada,eng," Title from cover. Issue for Sept./Oct. 1998 incorrectly numbered as v. 54, no. 9 but constitutes v. 54, no. 8.",,1481-9988,1998,
0042365,Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association),Columbia University Hospital School Of Nursing. Alumnae Association,United States,eng," Description based on: Vol. 60, no. 3 (fall-winter 1965); title from cover. Continued by: Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)",,0069-634X,1906,
7706527,The Alumnae magazine,Waverly Press,United States,eng,,,0002-6700,1956,
8504267,Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association),Columbia University-Presbyterian School Of Nursing Alumni Association,United States,eng, Title from cover. Continues: Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association).,,0898-4093,1985,http://www.cuphsonaa.org/publications.html
7705977,The Alumni magazine,Alumni Assn. Of The Johns Hopkins Hospital School Of Nursing,United States,eng, Vols. for   -1987 issued by the Johns Hopkins Nurses' Alumni Association.,,0149-2608,1972,
8502312,The American journal of hospice care,Prime National Pub. Corp.,United States,eng,,,0749-1565,1984,
0001470,American journal of practical nursing,National Federation Of Licensed Practical Nurses,United States,eng, Official magazine of the National Federation of Licensed Practical Nurses. Formed by the union of Practical nursing digest and National Federation of Licensed Practical Nurses.  Newsletter [new ser.] Superseded by Bedside nurse.,,0569-6054,1965,
7506499,The American nurse,American Nurses' Assn.,United States,eng, Official newspaper of the American Nurses' Association.,,0098-1486,1972,
9870008,American Nurses Association Publications,American Nurses Association,United States,eng,,,,19uu,
7610370,American rehabilitation,U.S. Rehabilitation Services Administration,United States,eng, Official publication of the Rehabilitation Services Administration.,,0362-4048,1975,
0423664,AN. Arkansas nurse,Arkansas State Nurses Association,United States,eng,,,0094-0488,1973,
7509335,ANA clinical conferences,Appeleton-Century-Crofts,United States,eng," Title varies: 1967, ANA regional clinical conferences. Issued in alternate years as the ANA clinical sessions, which is cataloged separately in this library. Consists of papers presented at the annual conventions of the American Nurses' Association. Continued by Clinical conference papers.",,0093-0423,1967,
7511412,ANA clinical sessions,Appleton Century Crofts,United States,eng," Issued in alternate years as the ANA clinical conferences (1967-71) and as the Clinical conference papers (1973-    ), which are cataloged separately in this library. Consists of papers presented at clinical sessions of the annual conventions of the American Nurses' Association.",,0065-9495,1966,
1304656,ANEC,Asociacion Nacional De Enfermeras De Columbia,Colombia,spa, Journal of the Asociación Nacional de Enfermeras de Colombia. Called also Revista ANEC.,,0044-930X,1966,
8411466,ANNA journal,The Association,United States,eng, Title from cover.,,8750-0779,1984,
101770513,Annual Symposium on Nursing Faculty Practice,American Academy of Nursing,United States,eng,,,,1983,
0102537,ANPHI papers,Academy of Nursing of the Philippines.,Philippines,eng,,,0065-0676,1966,
15240450R,The Arizona nurse,Arizona State Nurses Association,United States,eng," Issues for Sept.? 1950-Apr. 1958 have no volume numbering but constitute v. 3-11, no. 1.",,0004-1599,1947,
0102754,The Ark-light newsletter,Arkansas State Nurses Association,United States,eng,,,0004-1696,1945,
7609209,ARN journal : the official journal of the Association of Rehabilitation Nurses,"Association of Rehabilitation Nurses, [c1975-c1980]",United States,eng, Title from cover.,2375-0812,0362-3505,1975,
8809082,Arthritis care and research : the official journal of the Arthritis Health Professions Association,Published for the American College of Rheumatology by Lipponcott Williams & Wilkins,United States,eng, Continued in 2001 as a section of: Arthritis and rheumatism. Odd numbered v. from v. 45- contain the section.,1529-0123,0893-7524,1988,
9008247,Asepsis,Ad-Com,United States,eng," Publisher varies. Description based on: Vol. 11, no. 1 (1st quarter 1989); title from cover.",,1062-0281,197u,
9880184,ASNA reporter,Elizabeth Barker.etc.,United States,eng," Official Publication of the Alabama State Nurses' Association. Description based on: Vol. 11,no.5 (May 1984).",,,19uu,
8607450,Aspen's advisor for nurse executives,Aspen Systems Corp.,United States,eng," Title from caption. ""An Aspen publication.""",,0883-9743,1985,
9878686,Assertive Nurse,,United States,eng,,,,1978,
100901776,Assistenza infermieristica e ricerca : AIR,Il Pensiero Scientifico Editore,Italy,ita," Description based on: Vol. 18, n. 2 (apr.-giugno 1999); title from cover. Articles in Italian; summaries and table of contents also in English.",2038-1778,1592-5986,1999,http://www.air-online.it/
8402038,AUAA journal : official journal of the American Urological Association Allied,American Urological Association Allied,United States,eng," Description based on: Vol. 3, no. 2 (Oct.-Dec. 1982); title from cover. Continued by: Urologic nursing.",,0882-9594,1980,
0367666,The Australasian nurses journal,Messenger Publications Proprietary Ltd,Australia,eng," Issues for July-Dec. 1971 numbered as v. 5, no. 16-21, but constitute v. 1. no. 1-6. Supersedes S. A. nurses journal.",,0301-018X,1971,
9442872,The Australian and New Zealand journal of mental health nursing,Blackwell Science for the Australian and New Zealand College of Mental Health Nurses,Australia,eng," Description based on: Vol. 3, no. 3 (Sept. 1994); title from cover. Place of publication varies.",1440-0979,1324-3780,1994,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0349
8903009,Australian College of Midwives Incorporated journal,The College,Australia,eng, Title from cover. Official publication of: the Australian College of Midwives Incorporated.,,1031-170X,1988,
9207852,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,Confederation of Australian Critical Care Nurses,Australia,eng," Title from cover. Preceded by a ""Special edition"" issue released Sept. 1991. Continues: Confederation of Australian Critical Care Nurses journal.",,1036-7314,1992,http://www.sciencedirect.com/science/journal/10367314
8409358,The Australian journal of advanced nursing : a quarterly publication of the Royal Australian Nursing Federation,Royal Australian Nursing Federation,Australia,eng," Title from cover. Print issues ceased with v.24, no. 4 (June-Aug. 2007) Issues for Sept.-Nov. 1983-    called also spring issue- .",1447-4328,0813-0531,1983,
100886426,The Australian journal of holistic nursing,"Published by the Centre for Professional Development in Health Sciences and the Centre for Nursing & Health Care Practices, Southern Cross University in association with the Holistic Nurses Association of Australia",Australia,eng," Published by the School of Nursing & Health Care Practices, Southern Cross University in association with the Australian College of Holistic Nurses, Inc., Oct. 1998- Description based on: Vol. 5, no. 1 (Apr. 1998); title from cover.",,1322-8803,1994,
101096027,Australian journal of midwifery : professional journal of the Australian College of Midwives Incorporated,Australian College of Midwives,Australia,eng," Title from cover. Latest issue consulted: Vol. 16, no. 1 (Mar. 2003). Place of publication varies.",,1445-4386,2001,
9305903,The Australian journal of rural health,Wiley-Blackwell Publishing Asia,Australia,eng, Title from cover.,1440-1584,1038-5282,1992,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1584
0370074,The Australian nurses' journal. Royal Australian Nursing Federation,Australian Nursing Federation,Australia,eng, Issued 19  -1993 by the Australian Nursing Federation.  Nursing Federation.,,0045-0758,1971,
9317904,Australian nursing journal (July 1993),Federal Secretary of the Australian Nursing Federation,Australia,eng, Title from cover. Apr. 1995 misprinted as no. 8 on cover.,,1320-3185,1993,
9317903,Australian nursing journal (June 1993),Federal Secretary of the Australian Nursing Federation,Australia,eng, Monthly. Title from cover.,,,1993,
101619146,Australian nursing & midwifery journal,Australian Nursing & Midwifery Federation,Australia,eng,,2207-1512,2202-7114,2013,
7802177,L'Auxiliaire,Corporation professionnelle des infirmières et infirmiers auxiliaires du Québec.,Canada,fre, Articles in French; some summaries in English.,,0703-9484,1977,
9708553,AWHONN lifelines,Blackwell Pub,United States,eng, Title from cover. Issue for Feb. 1997 called also Premier issue.,1552-6356,1091-5923,1997,
9311009,AWHONN's clinical issues in perinatal and women's health nursing,Awhonn Through J. B. Lippincott Company,United States,eng," Quarterly. Offical publication of AWHONN, the Association of Women's Health, Obstetric, and Neonatal Nurses. Continues: NAACOG's clinical issues in perinatal and women's health nursing.",,1066-3614,1993,
9306666,AWHONN voice,"Awhonn, The Association Of Womens Health, Obstetric, And Neonatal Nurses",United States,eng, Monthly. Title from caption. Continues: NAACOG newsletter.,,1066-2944,1993,
8804393,"Axone (Dartmouth, N.S.)","Published by the Printer, Halifax, Nova Scotia for the Canadian Association of Neuroscience Nurses",Canada,eng," Description based on: Vol. 8, no. 2 (Dec. 1986); title from cover. Place of publication varies. Articles in English or French.",,0834-7824,1979,
0251043,Barbados nursing journal,Barbados Registered Nurses Association,Barbados,eng,,,,1967,
8005335,Baylor nursing educator,"School of Nursing, Baylor University]",United States,eng,,,0270-7799,1979,
0366113,Bedside nurse,Duaal,United States,eng, Issues for Jan.-Feb. 1973 have title: Bedside nurse - nursing care. Official journal of the National Federation of Licensed Practical Nurses. Supersedes American journal of practical nursing. Continued by Nursing care.,,0005-7665,1968,
9303087,Beginnings (American Holistic Nurses' Association),American Holistic Nurses Association,United States,eng," Ten issues per yr. Description based on: Vol. 12, no. 6 (June/July 1992); title from caption.",,1071-2984,1981,
0412063,Berita jururawat,,Singapore,eng, Called also the Nursing journal of Singapore. Text in English. Official organ of the Singapore Trained Nurses Association. Continued by the Nursing journal of Singapore.,,,1968,
9605850,Best practices and benchmarking in healthcare : a practical journal for clinical and management application,Mosby-Year Book,United States,eng, Title from cover.,,1085-0635,1996,
9306676,The Birth gazette,Religious and Educational Fund,United States,eng," Title from cover. Published by: Rocinante, summer 1992?- . Continues: Practicing midwife.",,0890-3255,1986,
7505245,Boleettino d'informazioni della Consociazione nazionale infermiere professionali e assistenti sanitarie visitatrici,Consociazione Nazionale Infirmiere Professionali Assistenti Sanitaire Visitatrici,Italy,ita, Continued by Professioni infermieristiche.,,,1948,
7700173,Boletin - Colegio de Profesionales de la Enfermería de Puerto Rico,Colegio De Profesionales De La Enfermeria De Puerto Rico,Puerto Rico,eng, Title varies slightly. Articles in English or Spanish. Official organ of the Colegio de Profesionales de la Enfermería de Puerto Rico. Supersedes Puerto Rico y su enfermera.,,0145-6245,1975,
0063742,Boletín. Asociación Venezolana de Enfermeras Profesionales,Asociacion Venezolana De Enfermeras Profesionales,Venezuela,spa,,,,1966,
9815827,British journal of community nursing,MA Healthcare Ltd,England,eng," Description based on: Vol. 3, no. 6 (June 1998); title from cover. Supplements accompany some vols. Some issues include supplements with title: Wound care. Some issues include supplements with title: Exudate supplement.",,1462-4753,199u,http://www.magonlinelibrary.com/toc/bjcn/current
9212059,British journal of nursing (Mark Allen Publishing),MA Healthcare,England,eng, 22 issues per year. Title from cover. Absorbed: Surgical nurse.,,0966-0461,1992,http://www.magonlinelibrary.com/toc/bjon/current
100935999,British journal of perioperative nursing : the journal of the National Association of Theatre Nurses,National Association of Theatre Nurses,England,eng, Title from cover.,,1467-1026,2000,
9204117,The British journal of theatre nursing : NATNews : the official journal of the National Association of Theatre Nurses,NATN,England,eng, Title from cover. Specialty supplements accompany some issues. Continues: NATNews.,,1353-0224,1991,
8711207,Bulletin (American Association for the History of Nursing),American Association For The History Of Nursing,United States,eng," Description based on: No. 4 (winter 1983,84); title from caption.",,0898-6622,1982,
1276072,Bulletin des infirmières catholiques du Canada,Association Des Infirmieres Catholiques Du Canada,Canada,fre, Issued by the Association des infirmières catholiques du Canada. Continues Bulletin des gardes-malades catholiques.,,0007-4470,1944,
7505327,Bulletin - National Tuberculosis and Respiratory Disease Association,,United States,eng,,,0028-0313,1968,
7505328,Bulletin - National Tuberculosis Association,,United States,eng," Running title, Feb. 1940-Dec. 1951: NTA bulletin.",,0893-1119,1918,
7503426,Bulletin of the American College of Nurse-Midwifery,American College Of Nurse-Midwifery,United States,eng, Continued by Bulletin of the American College of Nurse-Midwives.,,0098-3721,1955,
7503427,Bulletin of the American College of Nurse-Midwives,American College Of Nurse-Midwives,United States,eng, Continues the Bulletin of the American College of Nurse-Midwifery. Continued by the Journal of nurse-midwifery.,,0002-8002,1969,
7803470,Bulletin of the Massachusetts Nurses Association,Massachusetts Nurses Association,United States,eng, Title varies slightly: Bulletin - Massachusetts Nurses Association. Continued by The Massachusetts nurse.,,0025-4843,1932,
7507004,Bulletin - Tennessee Nurses Association,Tennessee Nurses Association,United States,eng, Continued by: Tennessee nurse.,,0040-3342,1936,
0436151,Bulletin - Texas Nurses Association,Texas Nurses Association,United States,eng, Official publication of the Texas Nurses Association. Continues Texas nurses' bulletin. Continued by Texas nursing.,,0040-4500,1957,
0205132,C.I.C.I.A.M.S. nouvelles,Comite Internationale Catholique Des Infirmieres Et Assistantes Medico-Sociales,Belgium,fre, Merged with C.I.C.I.A.M.S. news to form Nouvelles - Comité international catholique des infirmiéres et assistantes médico-sociales.  News - International Committee of Catholic Nurses and Medico-Social Workers.,,,1965,
0417622,Les cahiers du nursing,Association Des Gardes-Malades Et Infirmieres Auxiliaires De La Province De Quebec,Canada,fre," Articles also in English, 1972-73. Issued by the Association des gardes-malades et infirmiers auxiliaires de la Province de Québec, 1966-73.",,0008-0179,1963,
16010470R,Cahiers odonto-stomatologiques,,France,fre," Summaries in English, German, Spanish and Italian. Official publication of the Ecole dentaire de Marseille.",,0526-8427,1951,
0246655,California nurse,California Nurses Association,United States,eng," Vol. 95, no. 9-10 for 1999 never published. Official bulletin of the California Nurses' Association.",,0008-1310,1969,
7909277,CANA,California Association Of Nurse Anesthetists,United States,eng,,,0196-2752,1947,
8812097,Canadian bulletin of cardiovascular nursing,Canadian Council Of Cardiovascular Nurses Of The Canadian Heart Foundation,Canada,eng, Title from cover. Added t.p. title: Bulletin canadien du nursing cardiovasculaire. Text in English and French; French text on inverted pages. Continues: Bulletin (Canadian Heart Foundation.  Canadian Council of Cardiovascular Nurses). Continued by: Canadian journal of cardiovascular nursing.,,0831-4462,1983,
8607463,Canadian critical care nursing journal,Health Media Inc. [for] Society of Critical Care Nurses of Canada,Canada,eng, Vols. for Dec. 1985?-    issued for Canadian Association of Critical Care Nurses.,,0826-6778,1984,
8913645,Canadian journal of cardiovascular nursing = Journal canadien en soins infirmiers cardio-vasculaires,Canadian Council of Cardiovascular Nurses of the Heart and Stroke Foundation of Canada,Canada,eng, Title from cover. Print issues ceased with v. 26 (2016). Articles chiefly in English with some in French; summaries in both languages. Continues: Canadian bulletin of cardiovascular nursing.,2368-8068,0843-6096,1989,
101662534,The Canadian journal of critical care nursing,Pappin Communications,Canada,eng,,,2368-8653,2015,
9114581,The Canadian journal of infection control : the official journal of the Community & Hospital Infection Control Association-Canada = Revue canadienne de prévention des infections,Crag Kelman & Associates,Canada,eng," Quarterly. Title from cover. Imprint varies. In English, with some text in French; summaries in both.",,1183-5702,1991,
101321312,Canadian journal of neuroscience nursing,Pappin Communications,Canada,eng, Description based on first issue; title from cover. In English and French.,,1913-7176,2007,
9100845,Canadian journal of nursing administration,Health Media,Canada,eng, Title from cover.,,0838-2948,1988,
100888575,Canadian journal of nursing leadership,Academy of Canadian Executive Nurses (ACEN),Canada,eng, Title from cover. Final issue consuled. Issued by: Academy of Canadian Executive Nurses.,,1481-9643,1999,
8910581,The Canadian journal of nursing research = Revue canadienne de recherche en sciences infirmières,SAGE Publishing,United States,eng," Issues for spring 1988-   also have title of previous publication on cover. Print issues ceased with v. 45, no. 4 (Dec. 2013). Articles chiefly in English with some in French; summaries in the other language.",1705-7051,0844-5621,1988,http://journals.sagepub.com/home/cjn
0074422,The Canadian journal of psychiatric nursing,Psychiatric Nurses Association of Canada,Canada,eng,,,0008-4247,1966,
0405504,The Canadian nurse,Canadian Nurses Association,Canada,eng," English title only,    -Dec. 1953, June 1959-Dec. 1985. Issued June 1959-    also in French ed. Print issues ceased with v. 114, no. 3 (May-June 2018). Vol. 80, no. 7 (Aug. 1984)-v. 80, no. 8 (Sept. 1984) misnumbered as v. 81, no. 7-v.81, no. 8. Vol. 81, no. 7 for 1984 is a combined issue with v. 26, no. 7 of L'infirmière canadienne. Some issues include supplement with title: CNA today. Includes some text in French, 1924-1985; text in English and French, Jan. 1986-    . Issued Oct. 1924-    by the Canadian Nurses' Association.",2562-430X,0008-4581,1924,
9300792,Canadian oncology nursing journal = Revue canadienne de nursing oncologique,Canadian Association of Nurses in Oncology,Canada,eng," Title from cover. Print issues ceased with v. 25, no. 4 (2015). Issues for Feb. 1992?-   designated: Vol. 2, no. 1?- .",2368-8076,1181-912X,1991,
8406632,Canadian operating room nursing journal,Clockwork Communications for the Operating Room Nurses of Canda,Canada,eng, Articles chiefly in English with some in French.,,0712-6778,1983,
9312355,Cancer practice,Blackwell Science for the American Cancer Society,United States,eng," Title from cover. Imprint varies. Published: Malden, MA : Blackwell Science, <May/June 1998->",1523-5394,1065-4704,1993,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-5394
100959352,CANNT journal = Journal ACITN,Pappin Communications,Canada,eng, Title from cover. Articles chiefly in English with some in French. Official publication of the Canadian Association of Nephrology Nurses and Technicians.,,1498-5136,1996,
9881858,Capital nursing,District of Columbia Nurses' Association,United States,eng, Title from cover.,,,1984,
0004704,Cardio-vascular nursing,American Heart Association,United States,eng,,,0008-6355,1965,
0035654,"Caridad, ciencia y arte",Colegio Provincial De Madrid,Spain,spa,,,0069-0546,1963,
9880341,Caritas,St Johns Of God Brothers,Ireland,eng,,,,1934,
9305123,The Case manager,"Mosby-Yearbook, Inc.",United States,eng," Description based on: Vol. 2, no. 2 (April-May-June 1991); title from cover. Place of publication varies. The business and professional publication of the Individual Case Management Association.",1532-6527,1061-9259,1990,http://www.sciencedirect.com/science/journal/10619259
16040540R,The Catholic nurse,Catholic Nurses Guild Of Great Britain,England,eng," Journal of the Catholic Nurses Guild, 1936?-",,0008-8269,1933,
0231743,The Catholic nurse,National Council Of Catholic Nurses Of The Usa,United States,eng, Official journal of the National Council of Catholic Nurses of the U. S. A.,,0576-9485,1952,
9878456,Ce Focus,Nurseco,United States,eng,,,,1978,
7502539,Chart,Illinois Nurses Association,United States,eng," Print ceased in 2007, online only 2008-2009.  Print resumed in 2010. ""For nurses"", 1986- Official publication of the Illinois State Nurses' Association. Continues the ISNA.",,0069-2778,1956,
7605561,Chot mai hēt kān phayābān,Samākom Phayābān hāeng Prathēt Thai.,Thailand,eng, Articles mainly in Thai with some in English; some summaries in English.,,0125-0035,1952,
0047107,Christian nurse,Christians Nurses League Of Cmai,India,eng, Publication of the Christian Nurses' League of C. M. A. I. No more published? Continues Nursing news.,,0009-5540,1965,
9882984,Christian nurse international,Nurses Christian Fellowship International,England,eng,,,1010-7355,1985,
100883848,CIN plus,Lippincott Williams & Wilkins,United States,eng, Title from caption.,,1098-7126,1998,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00128682-000000000-00000
9816180,Clinical excellence for nurse practitioners : the international journal of NPACE,Churchill Livingstone,United States,eng," Title from cover. Published <1998-> at Philadelphia, PA.",,1085-2360,1997,
9705336,Clinical journal of oncology nursing,Oncology Nursing Press,United States,eng, Title from cover. Issued by: Oncology Nursing Society.,1538-067X,1092-1095,1997,https://cjon.ons.org/archive
8709115,Clinical nurse specialist CNS,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-9782,0887-6274,1987,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00002800-000000000-00000
9433629,Clinical nursing practice in epilepsy,Churchill Communications North America,United States,eng," Description based on: Vol. 1, issue 4 (Dec. 1993); title from cover.",,,1993,
9208508,Clinical nursing research,Sage Periodicals Press,United States,eng, Title from cover.,1552-3799,1054-7738,1992,http://cnr.sagepub.com/archive/
1250251,CNA bulletin,California Nurses' Assn.,United States,eng, Official publication of the California Nurses' Association.,,,1961,
9612493,"Collegian (Royal College of Nursing, Australia)",Elsevier Australia,Australia,eng, Title from cover. Vol. 1 complete in 1 issue.,1876-7575,1322-7696,1994,
16320400R,Colorado nurse,Colorado Nurses Association,United States,eng," Vol. numbers irregular: omitted: v. 53, no. 4-10; v. 54, no. 1-3; v. 58-v. 59, no. 5. Official publication of the Colorado State Nurses' Association, 1947?    -Nov. 1955; of the Colorado Nurses' Association, Dec. 1955-1984. Continued by Colorado nurse update.",,0010-1680,19uu,
8502809,Colorado nurse (1985),Colorado Nurses Association,United States,eng," Title from caption. Issues for Mar. 11, 1985-   called also: Vol. 85, no. 5- Continues: Colorado nurse update.",,8750-846X,1985,
7707277,Communicating nursing research,Western Interstate Commission for Higher Education.,United States,eng, Issued 1975-    as a journal of the Western Council on Higher Education for Nursing. Editor: v. [1]-    M. V. Batey Consists of papers presented at a conference sponsored 1968-73 by the Western Council on Higher Education for Nursing; 1974-    by the Western Society for Research in Nursing. Some issues contain the proceedings of the WIN Assembly. Vol. for 1968 has no vol. numbering but constitutes v. 1; vols. for 1969-74 have vol. numbering on spine only.,,0160-1652,1968,
9878931,Communique Newsletter,Wisconsin League For Nursing,United States,eng,,,,1977,
9879661,"Communiqué (Milwaukee, Wis.)",Wisconsin League for Nursing,United States,eng, Description based on: Winter 1981; title from cover. Official publication of the Wisconsin League for Nursing.,,0887-4557,1979,
9508559,Community nurse,Emap Healthcare,England,eng, Title from cover. Issues for Feb. 1995-   have separately paged insert: Nurse prescriber.,,1351-1416,1995,
8506876,Community nursing,"A.J. Jannetti, Inc.",United States,eng," Description based on: Vol. 2, no. 1, published 1985; title from caption. Supported through an educational grant from McNeil Consumer Products Company.",,0898-4891,1984,
7900730,Community outlook,Macmillan Journals Ltd.,England,eng," Issued with Nursing times. Issues for Aug. 1977-Feb. 1978 bound with Nursing times v. 73, no. 32-v. 74, no. 6.",,0262-8759,1977,
9809060,Community practitioner : the journal of the Community Practitioners' & Health Visitors' Association,Community Practitioners And Health Visitors Association,England,eng, Title from cover.,,1462-2815,1998,
101225531,Complementary therapies in clinical practice,Elsevier,England,eng, Title from cover.,1873-6947,1744-3881,2005,http://www.sciencedirect.com/science/journal/17443881
9506953,Complementary therapies in nursing & midwifery,Churchill Livingstone,Scotland,eng, Title from cover.,,1353-6117,1995,http://www.sciencedirect.com/science/journal/13536117
101682864,Comprehensive child and adolescent nursing,Taylor & Francis Group,England,eng,,2469-4207,2469-4193,2016,http://www.tandfonline.com/loi/icpn20
9214659,"Concern (Regina, Sask.)",Saskatchewan Registered Nurses Association,Canada,eng," Bimonthly. Description based on: Vol. 16, no. 4 (Aug. 1987); title from caption.",,0836-7310,1987,
9011101,Confederation of Australian Critical Care Nurses journal,Confederation Of The Australian Critical Care Nurses,Australia,eng," Quarterly. Description based on : Vol. 2, no. 3 (Sept. 1989); title from cover. Offical publication of the Clinical Nurse Specialists Association of Australia and New Zealand and the Australian Society of Critical Care Nurses, 1989?-   ; the Confederation of Australian Critical Care Nurses, 19  -1991. Formed by the union of: PULSE (Australian Society of Critical Care Nurses, and: CNSA journal. Continued by: Australian critical care.",,1033-3355,1988,
9878914,"Connecticut nursing news (Meriden, Conn. : 1980)",Connecticut Nurses' Association,United States,eng," Description based on: Vol. 54, issue 11 (Aug. 1981); title from caption. Latest issue consulted: Vol. 75, issue 3 (Sept., Oct., Nov. 2002). Print issues ceased with v. 82, no. 4 (Dec./Feb. 2009/2010) Official publication of the Connecticut Nurses' Association, <2002->",,0278-4092,1980,http://www.ctnurses.org/displaynewsletter.cfm
9211867,Contemporary nurse,Taylor & Francis,United States,eng," Two issues, 1992; 5 issues, 1992/1993- . Title from cover.",1839-3535,1037-6178,1992,http://www.tandfonline.com/loi/rcnj20
9505022,Creative nursing,"Creative Nursing Management, Inc.",United States,eng," Description based on: Vol. 1, issue 3 (Jan./Feb. 1995); title from cover.",,1078-4535,1994,http://connect.springerpub.com/content/sgrcn
8207799,Critical care nurse,American Association of Critical-Care Nurses,United States,eng, Title from cover.,1940-8250,0279-5442,1980,https://aacnjournals.org/ccnonline
