PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"16980795","Clinical nurse specialist practice within the Acute Care for Elders interdisciplinary team model","Benedict L, Robinson K, Holder C.","Clin Nurse Spec. 2006 Sep-Oct;20(5):248-51. doi: 10.1097/00002800-200609000-00012.","Benedict L","Clin Nurse Spec","2006","2006/09/19","","","10.1097/00002800-200609000-00012"
"21631879","Restraints or alternatives: safety work in care of older persons","Ludwick R, O'Toole R, Meehan A.","Int J Older People Nurs. 2012 Mar;7(1):11-9. doi: 10.1111/j.1748-3743.2010.00244.x. Epub 2010 Oct 14.","Ludwick R","Int J Older People Nurs","2012","2011/06/03","","","10.1111/j.1748-3743.2010.00244.x"
"15725280","A holistic approach to the promotion of older hospital patients' health","Berg GV, Hedelin B, Sarvimäki A.","Int Nurs Rev. 2005 Mar;52(1):73-80. doi: 10.1111/j.1466-7657.2004.00264.x.","Berg GV","Int Nurs Rev","2005","2005/02/24","","","10.1111/j.1466-7657.2004.00264.x"
"15840075","Caring for older patients at an emergency department -- emergency nurses' reasoning","Kihlgren AL, Nilsson M, Sørlie V.","J Clin Nurs. 2005 May;14(5):601-8. doi: 10.1111/j.1365-2702.2004.01104.x.","Kihlgren AL","J Clin Nurs","2005","2005/04/21","","","10.1111/j.1365-2702.2004.01104.x"
"18269545","Leadership role of Consultant Nurses working with Older People: a co-operative inquiry","Manley K, Webster J, Hale N, Hayes N, Minardi H.","J Nurs Manag. 2008 Mar;16(2):147-58. doi: 10.1111/j.1365-2834.2007.00843.x.","Manley K","J Nurs Manag","2008","2008/02/14","","","10.1111/j.1365-2834.2007.00843.x"
"24908844","[Working together in gerontology]","Bonnery AM.","Soins Gerontol. 2014 May-Jun;(107):25-7.","Bonnery AM","Soins Gerontol","2014","2014/06/10","","",""
"24444372","The care of older adults in hospital: if it's common sense why isn't it common practice?","Parke B, Hunter KF.","J Clin Nurs. 2014 Jun;23(11-12):1573-82. doi: 10.1111/jocn.12529. Epub 2014 Jan 21.","Parke B","J Clin Nurs","2014","2014/01/22","","","10.1111/jocn.12529"
"21856244","Psychosocial assessment of nursing home residents via MDS 3.0: recommendations for social service training, staffing, and roles in interdisciplinary care","Simons K, Connolly RP, Bonifas R, Allen PD, Bailey K, Downes D, Galambos C.","J Am Med Dir Assoc. 2012 Feb;13(2):190.e9-190.e15. doi: 10.1016/j.jamda.2011.07.005.","Simons K","J Am Med Dir Assoc","2012","2011/08/23","","","10.1016/j.jamda.2011.07.005"
"16171298","Gerontological nursing roles within the Southeastern Regional Geriatric Program","Galarneau LD, Campton TK, Hart BD, Jodoin AM.","Perspectives. 2005 Summer;29(2):5-11.","Galarneau LD","Perspectives","2005","2005/09/21","","",""
"28578673","Team social cohesion, professionalism, and patient-centeredness: Gendered care work, with special reference to elderly care - a mixed methods study","Öhman A, Keisu BI, Enberg B.","BMC Health Serv Res. 2017 Jun 2;17(1):381. doi: 10.1186/s12913-017-2326-9.","Öhman A","BMC Health Serv Res","2017","2017/06/06","PMC5457615","","10.1186/s12913-017-2326-9"
"20543238","Aging: adding complexity, requiring skills","Cassel CK, Johnston-Fleece M, Reddy S.","Stud Health Technol Inform. 2010;153:47-69.","Cassel CK","Stud Health Technol Inform","2010","2010/06/15","","",""
"21308240","[Theoric-phylosophic conceptions about aging, old age, aged and gerontogeriatric nursing]","Santos SS.","Rev Bras Enferm. 2010 Nov-Dec;63(6):1035-9. doi: 10.1590/s0034-71672010000600025.","Santos SS","Rev Bras Enferm","2010","2011/02/11","","","10.1590/s0034-71672010000600025"
"23156195","Medication management for nurses working in long-term care","Ellis W, Kaasalainen S, Baxter P, Ploeg J.","Can J Nurs Res. 2012 Sep;44(3):128-49.","Ellis W","Can J Nurs Res","2012","2012/11/20","","",""
"19350878","Complexity in geriatric home healthcare","Murtaugh C, Peng T, Totten A, Costello B, Moore S, Aykan H.","J Healthc Qual. 2009 Mar-Apr;31(2):34-43. doi: 10.1111/j.1945-1474.2009.00017.x.","Murtaugh C","J Healthc Qual","2009","2009/04/09","","","10.1111/j.1945-1474.2009.00017.x"
"8900636","Triaging seniors in health crisis in the emergency department: a three-year summary","Freeman M, Zack E.","Perspectives. 1996 Fall;20(3):8-11.","Freeman M","Perspectives","1996","1996/01/01","","",""
"15119154","Parkinson's disease, palliative care and older people: Part 2","Thomas S, MacMahon D.","Nurs Older People. 2004 Apr;16(2):22-6; quiz 28. doi: 10.7748/nop2004.04.16.2.22.c2303.","Thomas S","Nurs Older People","2004","2004/05/04","","","10.7748/nop2004.04.16.2.22.c2303"
"27103468","Negotiating the care-giving role: family members' experience during critical exacerbation of COPD in Norway","Aasbø G, Rugkåsa J, Solbraekke KN, Werner A.","Health Soc Care Community. 2017 Mar;25(2):612-620. doi: 10.1111/hsc.12350. Epub 2016 Apr 21.","Aasbø G","Health Soc Care Community","2017","2016/04/23","","","10.1111/hsc.12350"
"22376375","CONNECT for quality: protocol of a cluster randomized controlled trial to improve fall prevention in nursing homes","Anderson RA, Corazzini K, Porter K, Daily K, McDaniel RR Jr, Colón-Emeric C.","Implement Sci. 2012 Feb 29;7:11. doi: 10.1186/1748-5908-7-11.","Anderson RA","Implement Sci","2012","2012/03/02","PMC3310735","","10.1186/1748-5908-7-11"
"26582384","The Trajectory of Tolerance for Wandering-related Boundary Transgression: An Exploration of Care Staff and Family Perceptions","MacAndrew M, Beattie E, O'Reilly M, Kolanowski A, Windsor C.","Gerontologist. 2017 Jun 1;57(3):451-460. doi: 10.1093/geront/gnv136.","MacAndrew M","Gerontologist","2017","2015/11/20","","","10.1093/geront/gnv136"
"18036015","Encountering the older confused patient: professional carers' experiences","Stenwall E, Sandberg J, Jönhagen ME, Fagerberg I.","Scand J Caring Sci. 2007 Dec;21(4):515-22. doi: 10.1111/j.1471-6712.2007.00505.x.","Stenwall E","Scand J Caring Sci","2007","2007/11/27","","","10.1111/j.1471-6712.2007.00505.x"
"14974517","Complexity theory: a long-term care specialty practice exemplar for the education of advanced practice nurses","McConnell ES, Lekan-Rutledge D, Nevidjon B, Anderson R.","J Nurs Educ. 2004 Feb;43(2):84-7. doi: 10.3928/01484834-20040201-06.","McConnell ES","J Nurs Educ","2004","2004/02/21","","","10.3928/01484834-20040201-06"
"28660749","""Making the best of what we have"": The lived experiences of community psychiatric nurses, day centre managers and social workers supporting clients with dementia attending a generic day care service","Laird EA, McGurk P, Reid B, Ryan A.","Int J Older People Nurs. 2017 Dec;12(4). doi: 10.1111/opn.12157. Epub 2017 Jun 29.","Laird EA","Int J Older People Nurs","2017","2017/06/30","","","10.1111/opn.12157"
"20626837","Improving access to health care for uninsured elderly patients","Horton S, Johnson RJ.","Public Health Nurs. 2010 Jul-Aug;27(4):362-70. doi: 10.1111/j.1525-1446.2010.00866.x.","Horton S","Public Health Nurs","2010","2010/07/15","","","10.1111/j.1525-1446.2010.00866.x"
"20946115","Working together to improve the care of older people: a new framework for collaboration","Zeitz K, Kitson A, Gibb H, Bagley E, Chester M, Davy C, Frankham J, Guthrie S, Roney F, Shanks A.","J Adv Nurs. 2011 Jan;67(1):43-55. doi: 10.1111/j.1365-2648.2010.05478.x. Epub 2010 Oct 12.","Zeitz K","J Adv Nurs","2011","2010/10/16","","","10.1111/j.1365-2648.2010.05478.x"
"17701657","Chronic kidney disease (CKD) in the elderly -- a geriatrician's perspective","Munikrishnappa D.","Aging Male. 2007 Sep;10(3):113-37. doi: 10.1080/13685530701419096.","Munikrishnappa D","Aging Male","2007","2007/08/19","","","10.1080/13685530701419096"
"18818533","Employers, home support workers and elderly clients: identifying key issues in delivery and receipt of home support","Martin-Matthews A, Sims-Gould J.","Healthc Q. 2008;11(4):69-75. doi: 10.12927/hcq.2008.20073.","Martin-Matthews A","Healthc Q","2008","2008/09/27","","","10.12927/hcq.2008.20073"
"23155586","[Educational geronto-technology for ostomized seniors from a complexity perspective]","Barros EJ, Santos SS, Gomes GC, Erdmann AL.","Rev Gaucha Enferm. 2012 Jun;33(2):95-101. doi: 10.1590/s1983-14472012000200014.","Barros EJ","Rev Gaucha Enferm","2012","2012/11/20","","","10.1590/s1983-14472012000200014"
"23192571","Nurses' ethical reasoning in cases of physical restraint in acute elderly care: a qualitative study","Goethals S, Dierckx de Casterlé B, Gastmans C.","Med Health Care Philos. 2013 Nov;16(4):983-91. doi: 10.1007/s11019-012-9455-z.","Goethals S","Med Health Care Philos","2013","2012/11/30","","","10.1007/s11019-012-9455-z"
"22512771","Elders adapting to a chronic diagnosis within a nursing refuge","Hegge M, Dinndorf-Hogenson G.","Nurs Forum. 2012 Apr-Jun;47(2):131-7. doi: 10.1111/j.1744-6198.2011.00255.x.","Hegge M","Nurs Forum","2012","2012/04/20","","","10.1111/j.1744-6198.2011.00255.x"
"25059515","[Stratification of clinical risk groups in a population over 65 years: features and nursing assessment]","Lozano-Vidal R, López-Pisa RM, Boyero-Granados A, Recio-Ramos S, Padín-Minaya C, Garzón-Quiñones M, Rodríguez-Latre LM.","Enferm Clin. 2014 Sep-Oct;24(5):290-5. doi: 10.1016/j.enfcli.2014.06.001. Epub 2014 Jul 22.","Lozano-Vidal R","Enferm Clin","2014","2014/07/26","","","10.1016/j.enfcli.2014.06.001"
"9756234","Staff views on the Resident Assessment Instrument, RAI/MDS, in nursing homes, and the use of the Cognitive Performance Scale, CPS, in different levels of care in Stockholm, Sweden","Hansebo G, Kihlgren M, Ljunggren G, Winblad B.","J Adv Nurs. 1998 Sep;28(3):642-53. doi: 10.1046/j.1365-2648.1998.00707.x.","Hansebo G","J Adv Nurs","1998","1998/10/02","","","10.1046/j.1365-2648.1998.00707.x"
"25828090","Who wants to work with older people? Swedish student nurses' willingness to work in elderly care--a questionnaire study","Carlson E, Idvall E.","Nurse Educ Today. 2015 Jul;35(7):849-53. doi: 10.1016/j.nedt.2015.03.002. Epub 2015 Mar 24.","Carlson E","Nurse Educ Today","2015","2015/04/02","","","10.1016/j.nedt.2015.03.002"
"8121815","Multidisciplinary assessment of patients with Alzheimer's disease","Abraham IL, Holroyd S, Snustad DG, Manning CA, Brashear HR, Diamond PT, Thompson-Heisterman AA.","Nurs Clin North Am. 1994 Mar;29(1):113-28.","Abraham IL","Nurs Clin North Am","1994","1994/03/01","","",""
"17078414","Nurse home visit programs for the elderly","Marek KD, Baker CD.","Annu Rev Nurs Res. 2006;24:157-78.","Marek KD","Annu Rev Nurs Res","2006","2006/11/03","","",""
"17695000","[Qualitative study on factors influencing the choice to work with the elders]","Squaglia S, Matarese M.","Assist Inferm Ric. 2007 Apr-Jun;26(2):67-75.","Squaglia S","Assist Inferm Ric","2007","2007/08/19","","",""
"19908080","[Special care requirements of elderly and old people: as reflected in the new Council of Experts Report]","Kuhlmey A.","Z Gerontol Geriatr. 2009 Dec;42(6):425-31. doi: 10.1007/s00391-009-0072-2. Epub 2009 Nov 13.","Kuhlmey A","Z Gerontol Geriatr","2009","2009/11/13","","","10.1007/s00391-009-0072-2"
"9370719","[Theories of nursing professionals about the elderly]","Erlemeier N, Weber G, Nassehi A, Saake I, Watermann R.","Pflege. 1997 Aug;10(4):206-14.","Erlemeier N","Pflege","1997","1997/08/01","","",""
"20349850","Assessment of capacity for medical decision making","Carroll DW.","J Gerontol Nurs. 2010 May;36(5):47-52. doi: 10.3928/00989134-20100303-03. Epub 2010 May 6.","Carroll DW","J Gerontol Nurs","2010","2010/03/31","","","10.3928/00989134-20100303-03"
"11915260","Measuring quality of care with an inpatient elderly population. The geriatric resource nurse model","Turner JT, Lee V, Fletcher K, Hudson K, Barton D.","J Gerontol Nurs. 2001 Mar;27(3):8-18. doi: 10.3928/0098-9134-20010301-04.","Turner JT","J Gerontol Nurs","2001","2002/03/28","","","10.3928/0098-9134-20010301-04"
"16531356","Locating ICT's benefits in elderly care","Olve NG, Vimarlund V.","Med Inform Internet Med. 2005 Dec;30(4):297-308. doi: 10.1080/14639230500429363.","Olve NG","Med Inform Internet Med","2005","2006/03/15","","","10.1080/14639230500429363"
"24299258","Expert knowledge elicitation using computer simulation: the organization of frail elderly case management as an illustration","Chiêm JC, Van Durme T, Vandendorpe F, Schmitz O, Speybroeck N, Cès S, Macq J.","J Eval Clin Pract. 2014 Aug;20(4):534-43. doi: 10.1111/jep.12101. Epub 2013 Dec 3.","Chiêm JC","J Eval Clin Pract","2014","2013/12/05","","","10.1111/jep.12101"
"10564412","An investigation of the components of best nursing practice in the care of acutely ill hospitalized older patients with coincidental dementia: a multi-method design","Tolson D, Smith M, Knight P.","J Adv Nurs. 1999 Nov;30(5):1127-36. doi: 10.1046/j.1365-2648.1999.01194.x.","Tolson D","J Adv Nurs","1999","1999/11/17","","","10.1046/j.1365-2648.1999.01194.x"
"28452265","'I love complexity'","Haidrani L.","Nurs Older People. 2017 Apr 28;29(4):41. doi: 10.7748/nop.29.4.41.s24.","Haidrani L","Nurs Older People","2017","2017/04/29","","","10.7748/nop.29.4.41.s24"
"12242205","Specialist nurses to evaluate elderly in-patients referred to a department of geriatric medicine","Harwood RH, Kempson R, Burke NJ, Morrant JD.","Age Ageing. 2002 Sep;31(5):401-4. doi: 10.1093/ageing/31.5.401.","Harwood RH","Age Ageing","2002","2002/09/21","","","10.1093/ageing/31.5.401"
"9719692","Compliance issues with the geriatric population: complexity with aging","De Geest S, von Renteln-Kruse W, Steeman E, Degraeve S, Abraham IL.","Nurs Clin North Am. 1998 Sep;33(3):467-80.","De Geest S","Nurs Clin North Am","1998","1998/08/28","","",""
"18649822","Participation in physical activity: influences reported by seniors in the community and in long-term care facilities","Weeks LE, Profit S, Campbell B, Graham H, Chircop A, Sheppard-LeMoine D.","J Gerontol Nurs. 2008 Jul;34(7):36-43. doi: 10.3928/00989134-20080701-11.","Weeks LE","J Gerontol Nurs","2008","2008/07/25","","","10.3928/00989134-20080701-11"
"1327994","Safe withdrawal from acute alcohol abuse in the aged","Ketcham ML, Hayner GN.","Geriatr Nurs. 1992 Sep-Oct;13(5):281-3. doi: 10.1016/s0197-4572(05)80421-5.","Ketcham ML","Geriatr Nurs","1992","1992/09/01","","","10.1016/s0197-4572(05)80421-5"
"9719688","Differentiated nursing assessment of depressive symptoms in community-dwelling elders","Onega LL, Abraham IL.","Nurs Clin North Am. 1998 Sep;33(3):407-16.","Onega LL","Nurs Clin North Am","1998","1998/08/28","","",""
"9731129","Can gerontological nursing survive?","Burke K.","Can Nurse. 1998 Apr;94(4):47-8.","Burke K","Can Nurse","1998","1998/09/10","","",""
"15670323","Risk factors for an untoward medication event among elders in community-based nursing caseloads in Australia","Johnson M, Griffiths R, Piper M, Langdon R.","Public Health Nurs. 2005 Jan-Feb;22(1):36-44. doi: 10.1111/j.0737-1209.2005.22106.x.","Johnson M","Public Health Nurs","2005","2005/01/27","","","10.1111/j.0737-1209.2005.22106.x"
"9429354","Health risks and health promotion for older women: utility of a health promotion diary","Pizzi ER, Wolf ZR.","Holist Nurs Pract. 1998 Jan;12(2):62-72. doi: 10.1097/00004650-199801000-00010.","Pizzi ER","Holist Nurs Pract","1998","1998/01/16","","","10.1097/00004650-199801000-00010"
"10640068","Association between continuing education and job satisfaction of nurses employed in long-term care facilities","Robertson EM, Higgins L, Rozmus C, Robinson JP.","J Contin Educ Nurs. 1999 May-Jun;30(3):108-13.","Robertson EM","J Contin Educ Nurs","1999","2000/01/20","","",""
"9180503","The complexity of basic care","Touhy TA.","J Gerontol Nurs. 1997 May;23(5):5-6. doi: 10.3928/0098-9134-19970501-05.","Touhy TA","J Gerontol Nurs","1997","1997/05/01","","","10.3928/0098-9134-19970501-05"
"7782575","Non-equilibrium systems theory: some applications for gerontological nursing practice","Porter EJ.","J Gerontol Nurs. 1995 Jun;21(6):24-31. doi: 10.3928/0098-9134-19950601-07.","Porter EJ","J Gerontol Nurs","1995","1995/06/01","","","10.3928/0098-9134-19950601-07"
